ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
81,Дон Жуан,2024-02-12 19:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget511site1001/widget/event/100160788?utm_referrer=lviv.kontramarka.ua/uk/don-zuan-71622.html&siteShowId=71622&siteEventId=190128,12 лютого 2024 року в Національному драматичному театрі імені Марії Заньковецької відбудеться спектакль “Дон Жуан”.,#Комедія ,340,890,2024-02-12 21:00:00
82,Малюємо Перемогу разом,2024-01-30 12:00:00,60,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/97863?utm_referrer=lviv.kontramarka.ua/uk/maluemo-peremogu-razom-89157.html&siteShowId=89157&siteEventId=193341,Жанр: містична феєрія,,90,110,2024-01-30 13:00:00
83,Малюємо Перемогу разом,2024-02-07 12:00:00,60,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/98704?utm_referrer=lviv.kontramarka.ua/uk/maluemo-peremogu-razom-89157.html&siteShowId=89157&siteEventId=194111,Жанр: містична феєрія,,90,110,2024-02-07 13:00:00
84,Малюємо Перемогу разом,2024-02-11 12:00:00,60,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/98705?utm_referrer=lviv.kontramarka.ua/uk/maluemo-peremogu-razom-89157.html&siteShowId=89157&siteEventId=194112,Жанр: містична феєрія,,90,110,2024-02-11 13:00:00
85,Малюємо Перемогу разом,2024-02-17 12:00:00,60,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/98711?utm_referrer=lviv.kontramarka.ua/uk/maluemo-peremogu-razom-89157.html&siteShowId=89157&siteEventId=194113,Жанр: містична феєрія,,90,110,2024-02-17 13:00:00
86,Малюємо Перемогу разом,2024-02-25 12:00:00,60,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/98714?utm_referrer=lviv.kontramarka.ua/uk/maluemo-peremogu-razom-89157.html&siteShowId=89157&siteEventId=194114,Жанр: містична феєрія,,90,110,2024-02-25 13:00:00
87,Лунаса,2024-01-31 18:00:00,140,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96573?utm_referrer=lviv.kontramarka.ua/uk/lunasa-86462.html&siteShowId=86462&siteEventId=191733,"за мотивами п'єси Брайна Фріла ""Танці на Лунасу""",,110,150,2024-01-31 20:20:00
88,Лунаса,2024-02-10 18:00:00,140,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96762?utm_referrer=lviv.kontramarka.ua/uk/lunasa-86462.html&siteShowId=86462&siteEventId=191830,"за мотивами п'єси Брайна Фріла ""Танці на Лунасу""",,110,150,2024-02-10 20:20:00
89,Лунаса,2024-02-29 18:00:00,140,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96776?utm_referrer=lviv.kontramarka.ua/uk/lunasa-86462.html&siteShowId=86462&siteEventId=191831,"за мотивами п'єси Брайна Фріла ""Танці на Лунасу""",,110,150,2024-02-29 20:20:00
90,Коза-Дереза,2024-02-01 12:00:00,70,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96754?utm_referrer=lviv.kontramarka.ua/uk/kozadereza-86459.html&siteShowId=86459&siteEventId=191840,,,90,110,2024-02-01 13:10:00
